Salary_id,iso_alpha2,Job_id,percentile_25,percentile_25_GBP,percentile_50,percentile_50_GBP,percentile_75,percentile_75_GBP
238,AD,LECTURER,27976.8,24296.3,34474.2,29939,42480.7,36892.1
239,AD,MARKETING-MANAGER,34468.8,29934.2,43293.8,37598.3,54378.3,47224.6
240,AD,MECHANICAL-ENGINEER,36222.7,31457.4,42469.9,36882.8,49794.5,43243.8
241,AD,MOBILE-DEVELOPER,35305,30660.5,44155.2,38346.3,55223.9,47958.9
242,AD,NURSE,38035.6,33031.8,42313.6,36747,47072.8,40880.1
243,AD,OFFICE-MANAGER,22451.3,19497.8,27448.4,23837.4,33557.6,29142.9
244,AD,OPERATIONS-MANAGER,31223.4,27115.8,39793.6,34558.5,50716.1,44044.1
245,AD,PHARMACIST,60274.6,52345.2,67147.4,58313.8,74803.7,64962.9
246,AD,PHYSICIAN,75875.5,65893.7,103377,89777.4,140847,122318
247,AD,POSTDOCTORAL-RESEARCHER,24929.1,21649.6,28194.2,24485.1,31886.9,27692.1
248,AD,PRODUCT-MANAGER,42615.5,37009.2,52369.4,45480,64355.8,55889.5
249,AD,PROJECT-MANAGER,38179.9,33157.2,47193.2,40984.7,58334.4,50660.2
250,AD,QA-ENGINEER,30088.8,26130.5,37091.2,32211.7,45723.1,39708
251,AD,RECEPTIONIST,15570.8,13522.4,18858.7,16377.8,22840.9,19836.1
252,AD,RESEARCH-SCIENTIST,32585.3,28298.5,41762.1,36268.1,53523.4,46482.1
253,AD,SALES-MANAGER,32540.3,28259.5,43007.6,37349.7,56841.8,49364
254,AD,SOFTWARE-ENGINEER,38295.6,33257.7,46677,40536.4,56892.6,49408.1
255,AD,SYSTEMS-ADMINISTRATOR,30781.1,26731.7,37045.4,32171.9,44584.5,38719.2
256,AD,TEACHER,22011.1,19115.5,27223.4,23642.1,33670,29240.6
257,AD,UX-DESIGNER,33898.6,29439.1,41564.9,36096.9,50965,44260.3
258,AD,WAITER,8864.57,7698.4,13568.9,11783.8,20769.7,18037.4
259,AD,WEB-DESIGNER,24665,21420.2,30180.7,26210.3,36929.7,32071.4
260,AD,WEB-DEVELOPER,31076.3,26988.1,38506.7,33441,47713.7,41436.8
261,AO,ACCOUNT-MANAGER,32483.5,30.7174,40669.5,38.4584,50918.5,48.1501
262,AO,ACCOUNTANT,25926.7,24.5171,30790.6,29.1166,36567.1,34.579
263,AO,ADMINISTRATIVE-ASSISTANT,20236.8,19.1365,24371.4,23.0464,29350.9,27.7551
264,AO,ARCHITECT,44222.2,41.8179,54759.3,51.7821,67807.1,64.1205
265,AO,ATTORNEY,35385.6,33.4618,47785.9,45.1878,64531.6,61.023
266,AO,BUSINESS-ANALYST,35536.2,33.6041,42628.6,40.3109,51136.5,48.3563
267,AO,BUSINESS-DEVELOPMENT,32042.5,30.3004,42451.8,40.1437,56242.5,53.1846
268,AO,C-LEVEL-EXECUTIVE,58652.9,55.464,87935.9,83.1549,131839,124.671
269,AO,CASHIER,9392.36,8.88171,13158.2,12.4428,18434,17.4318
270,AO,CHEF,24183.9,22.8691,29704.6,28.0896,36485.6,34.5019
271,AO,CHEMICAL-ENGINEER,40008.9,37.8337,48480.4,45.8446,58745.7,55.5517
